@station,number,@load,@bikeflag,reachtime,index,station_id,routename,abbr,routeID,hexcolor,color,name,gtfs_latitude,gtfs_longitude,address,city,county,state,zipcode
12TH,2,0,1,18,32,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,19,33,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,19,34,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,20,35,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,20,36,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,20,37,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,20,38,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,21,39,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,21,40,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,21,41,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,5,1,8,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,5,2,10,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,5,3,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,3,0,1,6,4,11,Warm Springs/South Fremont to Richmond,WARM-RICH,ROUTE 3,#FF9933,ORANGE,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
